1,"Si el comprobante está a mi nombre, necesariamente tiene que figurar mi nombre completo?","C001"
1,"Tengo boletas que no tienen nombre solo se detalla la compra, tmb las puedo registrar","C001"
1,"A qué se refiere, que también son válidos los que no llevan mi nombre?","C001"
1,"Buenas tardes y si tengo boletas que están sin nombre… también podría registrarlas de mi parte, Para el sorteo","C001"
1,"Una consulta… las boletas de venta deben estar a mi nombre","C001"
2,"Una consulta en los boletas electrónicas es necesario mi nombre de cliente","C001"
3,"Buenas noches tengo una preg las boletas deben tener nombre del usuario o basta con ser el poseedor?","C001"
4,"Las boletas necesariamente tienen que estar a mi nombre?","C001"
5,"¿es necesario que mi DNI figure en la boleta?","C001"
6,"¿puedo ingresar comprobantes de todos los intergrantes de mi familia en mi misma cuenta?","C001"
7,"Y todas las boletas que mi padre recibe lo estoy registrando no hay ningun problema cierto?","C001"
8,"Buenas una consulta, las boletas deben tener el nombre de las persona que tiene la cuenta y con dni?","C001"
8,"Buenas tardes una consulta, las boletas deben tener necesariamente el nombre de la persona que lo registra?","C001"
8,"¿Si tengo boletas de ventas con solo mi nombre son vàlidas para este sorteo?","C001"
9,"Para q las boletas sean aceptadas necesariamente los datos del usuario osea nombre y dni?","C001"
9,"Una pregunta los comprobantes deben estar cn el nombre y dni completo del participante?","C001"
9,"Buenas noches Sunat, puedo registrar normal los comprobantes que no consignen mis datos?","C001"
9,"¿En caso salga mi ticket ganador se podrá validar aunque no parezca mis datos aun siendo ese ticket de mi propiedad porque si realice aquella compra y me dieron ticket? ","C001"
9,"Es necesario que en los comprobantes esten escritos nuestro nombre y apellidos o tambien son validos los que estan en blanco","C001"
10,"SUNAT., buenas noches cuando es el sorteo","C002"
11,"Hola cuando saldran los resultados del sorteo","C002"
12,"el dia del sorteo mandaras la lista de los ganadores por este medio?","C002"
12,"Cuando es el primer sorteo","C002"
13,"Hasta cuàndo puedo registrar?","C002"
13,"Hasta cuàndo tengo tiempo para ingresar los comprobantes","C002"
13,"Hila Sunat… cuando es el sorteo","C002"
14,"Se puede ingresar Todos, los comprobantes que obtengamos por cada compra? En periodo establecido antes del sorteo.","C003"
15,"que fecha salen los resultados?","C002"
15,"me pueden facilirtar el cronograma","C002"
16,"cuando y donde podre revisar la lista de ganadores","C002"
16,"¿Hasta cuándo puedo registrar mis comprobantes?","C002"
17,"cales son las fechas del sorteo}","C002"
17,"participan facturas??","C003"
18,"Quisiera saber las boletas que requisitos mìnimos debe contener","C003"
18,"Quisiera saber las boletas que requisitos mìnimos debe contener","C003"
19,"Hola, podría decirme laos comprobantes de pago desde q fecha son validos","C003"
19,"Que requisitos debe cumplir la boleta de venta para ser aceptada en el sorteo","C003"
19,"Muy buenos días… tengo una duda…las boletas de venta de la universidad que estudio también se puede registrar… para el sorteo de paquetes para Rusia","C003"
20,"Muy buenas tengo comprobantes que se deterioraron por el tiempo son de ano pasado tambien lo puedo registrar","C003"
20,"Hola una consulta. Los tickets que nos dan a recargar el metropolitano participan en el sorteo?","C003"
21,"Buenos días una consulta yo ingresé algunas boletas de ventas del mes de diciembre 2017 esas boletas también cuentan para el sorteo o solo las q ingresaría en el mes de enero","C003"
22,"Si tengo boleta simple de lo que fui a comer a un restaurante, esa boleta puede entrar al sorteo?","C003"
23,"Una consulta, los comprobantes de pago emitidos por los colegios particulares y compañías de seguro, se pueden registrar para el sorteo de comprobantes de pago?","C003"
24,"Comprobantes desde q mes en adelante fecha por favor","C003"
25,"Puedo registrar mis tickets?","C003"
25,"Desde qué monto valen las boletas que participan del sorteo???","C003"
26,"Buenas tardes. Consulta: ¿los recibos del servicio de Movistar TV que pago mensualmente también ingresan al sorteo?","C003"
27,"¿A partir de que monto minimo son los comprobantes de pago a ser sorteados?","C003"
28,"comprobantes desde enero de 2017 a marzo de 2018..??","C003"
29,"Cuentan también las boletas de venta de consumo de combustible?","C003"
30,"¿Las boletas electrónicas también entrar al sorteo?","C003"
31,"Los bouchers de pago a celulares sirven para entrar al sorteo","C003"
32,"DE CUANTO DEBE SER EL MONTO QUEDEBE FIGURAR EN LA BOLETA , PARA PODER PARTICIPAR EN EL SORTEO","C003"
33,"Señores de Sunat, tengo ticket del cine UVK y no puedo inscribirlo…..??","C003"
34,"El registro es desdd el 14, pero los comprobantes deben ser desde el 01 de enero?","C003"